Time,E,S,ES,P
10790,86,12389,14,87597
10800,84,12350,16,87634
10810,81,12314,19,87667
10820,89,12295,11,87694
10830,87,12255,13,87732
10840,85,12213,15,87772
10850,90,12184,10,87806
10860,84,12147,16,87837
10870,89,12121,11,87868
10880,87,12090,13,87897
10890,91,12064,9,87927
10900,88,12034,12,87954
10910,90,12004,10,87986
10920,88,11964,12,88024
10930,90,11927,10,88063
10940,83,11889,17,88094
10950,86,11864,14,88122
10960,91,11841,9,88150
10970,92,11819,8,88173
10980,88,11785,12,88203
10990,88,11757,12,88231
11000,82,11718,18,88264
11010,81,11685,19,88296
11020,89,11649,11,88340
11030,92,11628,8,88364
11040,85,11592,15,88393
11050,83,11556,17,88427
11060,84,11522,16,88462
11070,93,11504,7,88489
11080,92,11473,8,88519
11090,87,11440,13,88547
11100,87,11402,13,88585
11110,86,11370,14,88616
11120,87,11336,13,88651
11130,89,11298,11,88691
11140,92,11275,8,88717
11150,89,11240,11,88749
11160,88,11210,12,88778
11170,81,11172,19,88809
11180,92,11150,8,88842
11190,88,11122,12,88866
11200,86,11085,14,88901
11210,89,11058,11,88931
11220,82,11022,18,88960
11230,84,10977,16,89007
11240,92,10944,8,89048
11250,90,10904,10,89086
11260,87,10870,13,89117
11270,91,10839,9,89152
11280,91,10809,9,89182
11290,90,10784,10,89206
11300,85,10742,15,89243
11310,84,10718,16,89266
11320,94,10689,6,89305
11330,86,10654,14,89332
11340,91,10625,9,89366
11350,90,10603,10,89387
11360,90,10571,10,89419
11370,87,10537,13,89450
11380,87,10504,13,89483
11390,90,10482,10,89508
11400,86,10444,14,89542
11410,90,10408,10,89582
11420,92,10372,8,89620
11430,86,10338,14,89648
11440,88,10309,12,89679
11450,85,10279,15,89706
11460,89,10241,11,89748
11470,91,10220,9,89771
11480,86,10187,14,89799
11490,92,10160,8,89832
11500,91,10138,9,89853
11510,85,10107,15,89878
11520,90,10084,10,89906
11530,86,10049,14,89937
11540,87,10023,13,89964
11550,89,9993,11,89996
11560,91,9963,9,90028
11570,93,9938,7,90055
11580,91,9905,9,90086
11590,92,9881,8,90111
11600,84,9845,16,90139
11610,90,9818,10,90172
11620,89,9784,11,90205
11630,91,9756,9,90235
11640,89,9735,11,90254
11650,89,9711,11,90278
11660,84,9676,16,90308
11670,86,9658,14,90328
11680,91,9627,9,90364
11690,86,9598,14,90388
11700,85,9566,15,90419
11710,96,9548,4,90448
11720,94,9521,6,90473
11730,90,9494,10,90496
11740,86,9466,14,90520
11750,84,9432,16,90552
11760,93,9413,7,90580
11770,90,9393,10,90597
11780,85,9364,15,90621
11790,92,9338,8,90654
11800,91,9307,9,90684
11810,90,9272,10,90718
11820,88,9243,12,90745
11830,92,9223,8,90769
11840,93,9205,7,90788
11850,90,9172,10,90818
11860,88,9139,12,90849
11870,86,9113,14,90873
11880,92,9093,8,90899
11890,92,9069,8,90923
11900,85,9026,15,90959
11910,92,8999,8,90993
11920,85,8969,15,91016
11930,91,8943,9,91048
11940,94,8920,6,91074
11950,90,8889,10,91101
11960,85,8865,15,91120
11970,94,8842,6,91152
11980,87,8809,13,91178
11990,88,8773,12,91215
12000,90,8749,10,91241
12010,90,8722,10,91268
12020,90,8698,10,91292
12030,93,8683,7,91310
12040,94,8661,6,91333
12050,92,8637,8,91355
12060,90,8605,10,91385
12070,86,8576,14,91410
12080,92,8558,8,91434
12090,91,8529,9,91462
12100,87,8502,13,91485
12110,95,8488,5,91507
12120,93,8467,7,91526
12130,89,8440,11,91549
12140,88,8415,12,91573
12150,89,8389,11,91600
12160,89,8368,11,91621
12170,90,8337,10,91653
12180,93,8311,7,91682
12190,93,8281,7,91712
12200,95,8257,5,91738
12210,90,8231,10,91759
12220,94,8213,6,91781
12230,91,8188,9,91803
12240,88,8162,12,91826
12250,93,8139,7,91854
12260,84,8105,16,91879
12270,92,8091,8,91901
12280,90,8069,10,91921
12290,93,8049,7,91944
12300,93,8022,7,91971
12310,95,8004,5,91991
12320,92,7983,8,92009
12330,92,7963,8,92029
12340,83,7931,17,92052
12350,87,7908,13,92079
12360,90,7887,10,92103
12370,88,7862,12,92126
12380,93,7843,7,92150
12390,94,7823,6,92171
12400,90,7800,10,92190
12410,93,7786,7,92207
12420,93,7767,7,92226
12430,95,7747,5,92248
12440,93,7724,7,92269
12450,92,7703,8,92289
12460,93,7679,7,92314
12470,93,7655,7,92338
12480,92,7629,8,92363
12490,94,7617,6,92377
12500,96,7600,4,92396
12510,91,7573,9,92418
12520,90,7554,10,92436
12530,95,7533,5,92462
12540,93,7509,7,92484
12550,91,7482,9,92509
12560,90,7459,10,92531
12570,92,7440,8,92552
12580,91,7423,9,92568
12590,87,7390,13,92597
12600,87,7370,13,92617
12610,94,7356,6,92638
12620,92,7331,8,92661
12630,93,7318,7,92675
12640,85,7290,15,92695
12650,91,7271,9,92720
12660,92,7244,8,92748
12670,93,7228,7,92765
12680,94,7214,6,92780
12690,94,7194,6,92800
12700,91,7176,9,92815
12710,91,7157,9,92834
12720,88,7135,12,92853
12730,94,7121,6,92873
12740,90,7094,10,92896
12750,90,7069,10,92921
12760,88,7046,12,92942
12770,97,7037,3,92960
12780,91,7015,9,92976
12790,89,6992,11,92997
12800,92,6969,8,93023
12810,94,6950,6,93044
12820,94,6924,6,93070
12830,93,6904,7,93089
12840,91,6884,9,93107
12850,96,6873,4,93123
12860,89,6851,11,93138
12870,93,6834,7,93159
12880,93,6813,7,93180
12890,94,6788,6,93206
12900,97,6769,3,93228
12910,90,6742,10,93248
12920,95,6724,5,93271
12930,90,6698,10,93292
12940,95,6685,5,93310
12950,92,6666,8,93326
12960,90,6641,10,93349
12970,85,6614,15,93371
12980,86,6595,14,93391
12990,96,6577,4,93419
13000,92,6559,8,93433
13010,89,6528,11,93461
13020,97,6514,3,93483
13030,92,6497,8,93495
13040,93,6482,7,93511
13050,94,6464,6,93530
13060,91,6447,9,93544
13070,94,6423,6,93571
13080,92,6404,8,93588
13090,94,6387,6,93607
13100,96,6373,4,93623
13110,97,6347,3,93650
13120,85,6325,15,93660
13130,96,6310,4,93686
13140,90,6294,10,93696
13150,92,6277,8,93715
13160,87,6257,13,93730
13170,93,6245,7,93748
13180,94,6223,6,93771
13190,96,6207,4,93789
13200,93,6194,7,93799
13210,94,6178,6,93816
13220,92,6154,8,93838
13230,92,6138,8,93854
13240,95,6126,5,93869
13250,94,6107,6,93887
13260,89,6089,11,93900
13270,91,6071,9,93920
13280,91,6053,9,93938
13290,94,6030,6,93964
13300,90,6007,10,93983
13310,93,5995,7,93998
13320,92,5974,8,94018
13330,90,5953,10,94037
13340,92,5940,8,94052
13350,93,5925,7,94068
13360,98,5917,2,94081
13370,93,5898,7,94095
13380,89,5880,11,94109
13390,89,5862,11,94127
13400,87,5841,13,94146
13410,90,5826,10,94164
13420,94,5816,6,94178
13430,96,5804,4,94192
13440,96,5784,4,94212
13450,96,5771,4,94225
13460,87,5743,13,94244
13470,91,5723,9,94268
13480,96,5712,4,94284
13490,96,5691,4,94305
13500,95,5676,5,94319
13510,97,5654,3,94343
13520,94,5635,6,94359
13530,92,5611,8,94381
13540,89,5593,11,94396
13550,87,5574,13,94413
13560,98,5568,2,94430
13570,91,5545,9,94446
13580,94,5533,6,94461
13590,93,5523,7,94470
13600,96,5510,4,94486
13610,88,5488,12,94500
13620,94,5472,6,94522
13630,94,5447,6,94547
13640,95,5430,5,94565
13650,94,5407,6,94587
13660,94,5389,6,94605
13670,97,5380,3,94617
13680,96,5355,4,94641
13690,93,5333,7,94660
13700,93,5317,7,94676
13710,97,5306,3,94691
13720,92,5287,8,94705
13730,91,5269,9,94722
13740,93,5257,7,94736
13750,92,5237,8,94755
13760,92,5215,8,94777
13770,90,5200,10,94790
13780,91,5179,9,94812
13790,94,5167,6,94827
13800,91,5145,9,94846
13810,90,5126,10,94864
13820,94,5103,6,94891
13830,94,5092,6,94902
13840,95,5083,5,94912
13850,92,5067,8,94925
13860,94,5052,6,94942
13870,95,5031,5,94964
13880,95,5015,5,94980
13890,96,5007,4,94989
13900,98,4994,2,95004
13910,94,4975,6,95019
13920,95,4963,5,95032
13930,92,4948,8,95044
13940,97,4941,3,95056
13950,93,4925,7,95068
13960,96,4913,4,95083
13970,97,4900,3,95097
13980,93,4886,7,95107
13990,92,4874,8,95118
14000,93,4861,7,95132
14010,92,4845,8,95147
14020,96,4834,4,95162
14030,99,4828,1,95171
14040,97,4815,3,95182
14050,90,4797,10,95193
14060,95,4785,5,95210
14070,94,4766,6,95228
14080,96,4754,4,95242
14090,95,4738,5,95257
14100,95,4722,5,95273
14110,93,4711,7,95282
14120,96,4694,4,95302
14130,94,4677,6,95317
14140,86,4663,14,95323
14150,94,4649,6,95345
14160,89,4630,11,95359
14170,98,4618,2,95380
14180,98,4604,2,95394
14190,93,4589,7,95404
14200,95,4576,5,95419
14210,96,4560,4,95436
14220,92,4544,8,95448
14230,94,4531,6,95463
14240,96,4526,4,95470
14250,95,4510,5,95485
14260,96,4498,4,95498
14270,99,4493,1,95506
14280,95,4478,5,95517
14290,91,4462,9,95529
14300,94,4446,6,95548
14310,100,4436,0,95564
14320,96,4424,4,95572
14330,94,4410,6,95584
14340,97,4395,3,95602
14350,95,4380,5,95615
14360,93,4365,7,95628
14370,97,4357,3,95640
14380,93,4345,7,95648
14390,99,4344,1,95655
14400,94,4327,6,95667
14410,96,4319,4,95677
14420,97,4310,3,95687
14430,95,4299,5,95696
14440,96,4288,4,95708
14450,92,4271,8,95721
14460,94,4259,6,95735
14470,94,4236,6,95758
14480,96,4221,4,95775
14490,96,4207,4,95789
14500,98,4202,2,95796
14510,89,4184,11,95805
14520,97,4178,3,95819
14530,97,4171,3,95826
14540,96,4160,4,95836
14550,97,4154,3,95843
14560,92,4145,8,95847
14570,93,4125,7,95868
14580,96,4111,4,95885
14590,93,4098,7,95895
14600,92,4078,8,95914
14610,92,4068,8,95924
14620,96,4061,4,95935
14630,97,4053,3,95944
14640,98,4038,2,95960
14650,94,4023,6,95971
14660,97,4010,3,95987
14670,92,3997,8,95995
14680,98,3984,2,96014
14690,95,3974,5,96021
14700,93,3960,7,96033
14710,97,3957,3,96040
14720,95,3941,5,96054
14730,98,3928,2,96070
14740,96,3920,4,96076
14750,95,3905,5,96090
14760,96,3895,4,96101
14770,97,3881,3,96116
14780,96,3872,4,96124
14790,95,3861,5,96134
14800,96,3841,4,96155
14810,99,3832,1,96167
14820,96,3824,4,96172
14830,95,3810,5,96185
14840,96,3801,4,96195
14850,94,3789,6,96205
14860,97,3784,3,96213
14870,95,3775,5,96220
14880,96,3763,4,96233
14890,95,3747,5,96248
14900,95,3741,5,96254
14910,96,3728,4,96268
14920,94,3711,6,96283
14930,95,3699,5,96296
14940,96,3688,4,96308
14950,95,3680,5,96315
14960,94,3673,6,96321
14970,94,3661,6,96333
14980,94,3649,6,96345
14990,99,3644,1,96355
15000,95,3633,5,96362
15010,92,3622,8,96370
15020,93,3609,7,96384
15030,100,3608,0,96392
15040,96,3595,4,96401
15050,98,3584,2,96414
15060,95,3571,5,96424
15070,98,3562,2,96436
15080,96,3548,4,96448
15090,89,3533,11,96456
15100,96,3529,4,96467
15110,96,3519,4,96477
15120,98,3510,2,96488
15130,94,3498,6,96496
15140,97,3491,3,96506
15150,94,3479,6,96515
15160,95,3470,5,96525
15170,95,3459,5,96536
15180,97,3452,3,96545
15190,96,3439,4,96557
15200,95,3430,5,96565
15210,98,3423,2,96575
15220,95,3412,5,96583
15230,95,3403,5,96592
15240,97,3397,3,96600
15250,94,3382,6,96612
15260,90,3370,10,96620
15270,98,3370,2,96628
15280,98,3362,2,96636
15290,93,3343,7,96650
15300,94,3330,6,96664
15310,97,3327,3,96670
15320,97,3314,3,96683
15330,93,3301,7,96692
15340,98,3296,2,96702
15350,94,3286,6,96708
15360,96,3281,4,96715
15370,99,3274,1,96725
15380,95,3258,5,96737
15390,98,3249,2,96749
15400,98,3244,2,96754
15410,99,3236,1,96763
15420,96,3224,4,96772
15430,98,3214,2,96784
15440,96,3201,4,96795
15450,98,3190,2,96808
15460,97,3174,3,96823
15470,95,3159,5,96836
15480,95,3148,5,96847
15490,98,3141,2,96857
15500,93,3128,7,96865
15510,98,3122,2,96876
15520,97,3114,3,96883
15530,95,3107,5,96888
15540,96,3092,4,96904
15550,97,3084,3,96913
15560,98,3075,2,96923
15570,100,3067,0,96933
15580,92,3051,8,96941
15590,93,3035,7,96958
15600,97,3026,3,96971
15610,94,3016,6,96978
15620,99,3011,1,96988
15630,95,2999,5,96996
15640,98,2993,2,97005
15650,96,2985,4,97011
15660,94,2973,6,97021
15670,100,2966,0,97034
15680,97,2955,3,97042
15690,97,2951,3,97046
15700,97,2943,3,97054
15710,94,2932,6,97062
15720,96,2922,4,97074
15730,95,2910,5,97085
15740,93,2893,7,97100
15750,93,2879,7,97114
15760,96,2874,4,97122
15770,98,2864,2,97134
15780,92,2852,8,97140
15790,96,2844,4,97152
15800,98,2840,2,97158
15810,97,2830,3,97167
15820,96,2823,4,97173
15830,98,2818,2,97180
15840,96,2811,4,97185
15850,94,2796,6,97198
15860,95,2786,5,97209
15870,97,2779,3,97218
15880,97,2768,3,97229
15890,99,2760,1,97239
15900,97,2753,3,97244
15910,96,2746,4,97250
15920,95,2737,5,97258
15930,94,2733,6,97261
15940,98,2730,2,97268
15950,98,2724,2,97274
15960,97,2716,3,97281
15970,97,2712,3,97285
15980,97,2700,3,97297
15990,99,2691,1,97308
16000,97,2687,3,97310
16010,98,2680,2,97318
16020,97,2673,3,97324
16030,99,2665,1,97334
16040,98,2652,2,97346
16050,97,2643,3,97354
16060,98,2634,2,97364
16070,100,2626,0,97374
16080,95,2611,5,97384
16090,98,2603,2,97395
16100,97,2588,3,97409
16110,96,2583,4,97413
16120,95,2574,5,97421
16130,96,2568,4,97428
16140,98,2561,2,97437
16150,96,2554,4,97442
16160,98,2547,2,97451
16170,97,2538,3,97459
16180,98,2532,2,97466
16190,97,2528,3,97469
16200,99,2526,1,97473
16210,98,2517,2,97481
16220,94,2504,6,97490
16230,95,2489,5,97506
16240,98,2483,2,97515
16250,100,2481,0,97519
16260,98,2470,2,97528
16270,92,2459,8,97533
16280,98,2459,2,97539
16290,99,2453,1,97546
16300,99,2451,1,97548
16310,97,2438,3,97559
16320,95,2427,5,97568
16330,94,2420,6,97574
16340,98,2413,2,97585
16350,98,2406,2,97592
16360,97,2400,3,97597
16370,100,2397,0,97603
16380,99,2386,1,97613
16390,98,2382,2,97616
16400,98,2371,2,97627
16410,96,2363,4,97633
16420,98,2358,2,97640
16430,97,2350,3,97647
16440,98,2340,2,97658
16450,98,2334,2,97664
16460,98,2327,2,97671
16470,96,2319,4,97677
16480,97,2314,3,97683
16490,95,2306,5,97689
16500,99,2300,1,97699
16510,94,2287,6,97707
16520,96,2280,4,97716
16530,99,2274,1,97725
16540,97,2269,3,97728
16550,99,2263,1,97736
16560,95,2253,5,97742
16570,96,2245,4,97751
16580,97,2236,3,97761
16590,100,2232,0,97768
16600,98,2225,2,97773
16610,94,2216,6,97778
16620,96,2207,4,97789
16630,99,2199,1,97800
16640,98,2192,2,97806
16650,98,2184,2,97814
16660,97,2176,3,97821
16670,96,2165,4,97831
16680,97,2159,3,97838
16690,96,2149,4,97847
16700,95,2143,5,97852
16710,99,2141,1,97858
16720,95,2132,5,97863
16730,95,2127,5,97868
16740,92,2117,8,97875
16750,97,2112,3,97885
16760,99,2109,1,97890
16770,98,2103,2,97895
16780,98,2101,2,97897
16790,96,2094,4,97902
16800,98,2091,2,97907
16810,97,2082,3,97915
16820,96,2074,4,97922
16830,99,2069,1,97930
16840,97,2064,3,97933
16850,97,2058,3,97939
16860,99,2051,1,97948
16870,99,2046,1,97953
16880,100,2043,0,97957
16890,100,2041,0,97959
16900,99,2036,1,97963
16910,98,2030,2,97968
16920,99,2026,1,97973
16930,97,2018,3,97979
16940,98,2013,2,97985
16950,94,2003,6,97991
16960,97,1999,3,97998
16970,97,1989,3,98008
16980,96,1984,4,98012
16990,98,1982,2,98016
17000,99,1977,1,98022
17010,99,1975,1,98024
17020,97,1966,3,98031
17030,94,1954,6,98040
17040,95,1952,5,98043
17050,99,1948,1,98051
17060,98,1942,2,98056
17070,98,1936,2,98062
17080,98,1931,2,98067
17090,99,1925,1,98074
17100,99,1922,1,98077
17110,96,1916,4,98080
17120,99,1910,1,98089
17130,94,1895,6,98099
17140,97,1892,3,98105
17150,99,1892,1,98107
17160,99,1890,1,98109
17170,97,1883,3,98114
17180,99,1881,1,98118
17190,98,1877,2,98121
17200,99,1872,1,98127
17210,100,1871,0,98129
17220,98,1865,2,98133
17230,100,1862,0,98138
17240,97,1852,3,98145
17250,98,1849,2,98149
17260,98,1846,2,98152
17270,97,1843,3,98154
17280,99,1841,1,98158
17290,100,1834,0,98166
17300,99,1830,1,98169
17310,98,1824,2,98174
17320,96,1817,4,98179
17330,99,1810,1,98189
17340,100,1803,0,98197
17350,99,1799,1,98200
17360,96,1791,4,98205
17370,100,1787,0,98213
17380,96,1779,4,98217
17390,97,1773,3,98224
17400,94,1766,6,98228
17410,99,1765,1,98234
17420,96,1755,4,98241
17430,98,1752,2,98246
17440,99,1750,1,98249
17450,98,1745,2,98253
17460,99,1742,1,98257
17470,97,1737,3,98260
17480,99,1734,1,98265
17490,98,1730,2,98268
17500,96,1723,4,98273
17510,94,1713,6,98281
17520,99,1711,1,98288
17530,99,1704,1,98295
17540,96,1696,4,98300
17550,99,1694,1,98305
17560,100,1691,0,98309
17570,98,1687,2,98311
17580,98,1680,2,98318
17590,97,1673,3,98324
17600,100,1673,0,98327
17610,100,1668,0,98332
17620,100,1666,0,98334
17630,98,1662,2,98336
17640,96,1653,4,98343
17650,96,1648,4,98348
17660,98,1646,2,98352
17670,99,1642,1,98357
17680,98,1639,2,98359
17690,100,1633,0,98367
17700,93,1622,7,98371
17710,96,1616,4,98380
17720,97,1614,3,98383
17730,96,1608,4,98388
17740,98,1603,2,98395
17750,98,1599,2,98399
17760,96,1590,4,98406
17770,100,1589,0,98411
17780,99,1582,1,98417
17790,97,1577,3,98420
17800,99,1573,1,98426
17810,97,1568,3,98429
17820,100,1562,0,98438
17830,97,1556,3,98441
17840,96,1551,4,98445
17850,98,1541,2,98457
17860,98,1538,2,98460
17870,97,1533,3,98464
17880,100,1527,0,98473
17890,99,1521,1,98478
17900,97,1517,3,98480
17910,98,1515,2,98483
17920,99,1512,1,98487
17930,99,1506,1,98493
17940,97,1503,3,98494
17950,98,1498,2,98500
17960,100,1498,0,98502
17970,99,1492,1,98507
17980,99,1484,1,98515
17990,99,1477,1,98522
18000,98,1476,2,98522
18010,98,1472,2,98526
18020,97,1467,3,98530
18030,97,1464,3,98533
18040,97,1458,3,98539
18050,98,1455,2,98543
18060,97,1454,3,98543
18070,97,1450,3,98547
18080,98,1447,2,98551
18090,100,1447,0,98553
18100,97,1438,3,98559
18110,97,1432,3,98565
18120,100,1431,0,98569
18130,97,1427,3,98570
18140,99,1424,1,98575
18150,98,1420,2,98578
18160,99,1413,1,98586
18170,100,1413,0,98587
18180,99,1410,1,98589
18190,98,1407,2,98591
18200,100,1408,0,98592
18210,97,1400,3,98597
18220,97,1394,3,98603
18230,100,1395,0,98605
18240,99,1391,1,98608
18250,98,1387,2,98611
18260,99,1384,1,98615
18270,97,1377,3,98620
18280,97,1367,3,98630
18290,100,1366,0,98634
18300,96,1355,4,98641
18310,98,1349,2,98649
18320,100,1347,0,98653
18330,96,1339,4,98657
18340,99,1335,1,98664
18350,98,1330,2,98668
18360,99,1328,1,98671
18370,99,1326,1,98673
18380,96,1322,4,98674
18390,98,1320,2,98678
18400,98,1314,2,98684
18410,99,1308,1,98691
18420,98,1305,2,98693
18430,100,1305,0,98695
18440,99,1301,1,98698
18450,100,1295,0,98705
18460,99,1289,1,98710
18470,96,1279,4,98717
18480,98,1276,2,98722
18490,97,1269,3,98728
18500,98,1264,2,98734
18510,99,1259,1,98740
18520,98,1251,2,98747
18530,98,1246,2,98752
18540,100,1245,0,98755
18550,98,1240,2,98758
18560,97,1235,3,98762
18570,100,1233,0,98767
18580,97,1225,3,98772
18590,99,1225,1,98774
18600,100,1221,0,98779
18610,99,1214,1,98785
18620,99,1213,1,98786
18630,97,1207,3,98790
18640,99,1203,1,98796
18650,97,1199,3,98798
18660,99,1195,1,98804
18670,98,1193,2,98805
18680,98,1191,2,98807
18690,98,1188,2,98810
18700,100,1185,0,98815
18710,97,1179,3,98818
18720,98,1177,2,98821
18730,100,1176,0,98824
18740,99,1172,1,98827
18750,99,1172,1,98827
18760,97,1167,3,98830
18770,99,1165,1,98834
18780,99,1162,1,98837
18790,100,1157,0,98843
18800,98,1152,2,98846
18810,100,1149,0,98851
18820,100,1146,0,98854
18830,96,1140,4,98856
18840,99,1138,1,98861
18850,99,1136,1,98863
18860,98,1128,2,98870
18870,99,1127,1,98872
18880,100,1127,0,98873
18890,99,1122,1,98877
18900,99,1120,1,98879
18910,100,1118,0,98882
18920,100,1115,0,98885
18930,98,1110,2,98888
18940,97,1106,3,98891
18950,97,1102,3,98895
18960,97,1099,3,98898
18970,98,1094,2,98904
18980,99,1091,1,98908
18990,98,1088,2,98910
19000,97,1082,3,98915
19010,97,1079,3,98918
19020,98,1076,2,98922
19030,99,1074,1,98925
19040,99,1071,1,98928
19050,98,1067,2,98931
19060,98,1061,2,98937
19070,99,1059,1,98940
19080,97,1054,3,98943
19090,99,1051,1,98948
19100,100,1050,0,98950
19110,99,1044,1,98955
19120,100,1043,0,98957
19130,97,1037,3,98960
19140,98,1034,2,98964
19150,99,1031,1,98968
19160,99,1029,1,98970
19170,99,1026,1,98973
19180,100,1023,0,98977
19190,96,1015,4,98981
19200,99,1013,1,98986
19210,98,1012,2,98986
19220,99,1007,1,98992
19230,98,1006,2,98992
19240,96,1001,4,98995
19250,100,1001,0,98999
19260,100,999,0,99001
19270,100,996,0,99004
19280,100,994,0,99006
19290,98,991,2,99007
19300,98,990,2,99008
19310,98,987,2,99011
19320,96,983,4,99013
19330,100,984,0,99016
19340,100,979,0,99021
19350,99,974,1,99025
19360,100,975,0,99025
19370,99,972,1,99027
19380,100,972,0,99028
19390,98,968,2,99030
19400,99,967,1,99032
19410,99,961,1,99038
19420,100,961,0,99039
19430,99,960,1,99039
19440,100,958,0,99042
19450,100,958,0,99042
19460,100,954,0,99046
19470,98,952,2,99046
19480,100,947,0,99053
19490,100,947,0,99053
19500,98,941,2,99057
19510,99,940,1,99059
19520,100,938,0,99062
19530,97,932,3,99065
19540,100,929,0,99071
19550,99,927,1,99072
19560,99,925,1,99074
19570,97,919,3,99078
19580,98,914,2,99084
19590,100,914,0,99086
19600,99,913,1,99086
19610,98,910,2,99088
19620,98,905,2,99093
19630,98,903,2,99095
19640,99,902,1,99097
19650,99,899,1,99100
19660,100,895,0,99105
19670,100,893,0,99107
19680,99,891,1,99108
19690,100,888,0,99112
19700,97,882,3,99115
19710,98,879,2,99119
19720,99,877,1,99122
19730,98,874,2,99124
19740,99,872,1,99127
19750,99,871,1,99128
19760,98,868,2,99130
19770,100,865,0,99135
19780,100,862,0,99138
19790,99,859,1,99140
19800,100,858,0,99142
19810,99,856,1,99143
19820,100,854,0,99146
19830,98,848,2,99150
19840,99,847,1,99152
19850,99,845,1,99154
19860,100,844,0,99156
19870,99,841,1,99158
19880,99,836,1,99163
19890,99,834,1,99165
19900,100,832,0,99168
19910,98,828,2,99170
19920,99,824,1,99175
19930,98,821,2,99177
19940,98,817,2,99181
19950,100,815,0,99185
19960,97,809,3,99188
19970,99,807,1,99192
19980,99,805,1,99194
19990,99,804,1,99195
20000,99,804,1,99195
